name,verdict,areas,reason,gate,version,ratatui_reqs,license,updated,in_top500_csv,downloads,description
gentooplz,DROP-APP,,publishes no library target,OK,0.3.0,ratatui^0.30,MIT,2026-07-28,no,,
geoclock,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0,ratatui^0.29.0,MIT OR Apache-2.0,2025-05-08,no,,
geometric-langlands-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2025-07-19,no,,
get-blessed,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.26.3,MIT,2024-06-29,no,,
gg-github,DROP-APP,,publishes no library target,OK,0.2.8,ratatui^0.30.0,MIT,2026-01-11,no,,
ggr,DROP-APP,,publishes no library target,OK,0.1.3,ratatui^0.30,MIT OR Apache-2.0,2026-05-20,no,,
ggsci-ratatui,KEEP,T,ggsci colour palettes,OK,0.6.2,ratatui^0.30.2; ratatui-core^0.1.2,MIT,2026-07-21,no,,ggsci color palettes for ratatui applications
ggufscan,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,MIT,2025-01-29,no,,
gh-news,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.18.0,ratatui^0.27,Apache-2.0,2026-07-22,no,,
gh-review,DROP-APP,,publishes no library target,OK,0.2.2,ratatui^0.30,MIT,2026-03-31,no,,
gh_autograder_fetcher,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.28,MIT,2026-03-01,no,,
gh_cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-03-15,no,,
ghciwatch,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.4.2,ratatui=0.26.1,MIT,2026-06-15,no,,
ghcli,DROP-APP,,publishes no library target,OK,1.1.3,ratatui^0.30.0,MIT,2026-04-14,no,,
ghelper-linux,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,MIT,2026-03-15,no,,
ghgrab,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,2.0.1,ratatui^0.25,MIT,2026-05-20,no,,
ghidrai,DROP-APP,,"ships binaries (gda,ghidrai)",OK,0.8.3,ratatui^0.30.1,GPL-3.0-or-later,2026-06-27,no,,
ghost-chaos,DROP-APP,,ships binaries (ghost),OK,0.1.0,ratatui^0.30.1,MIT OR Apache-2.0,2026-07-18,no,,
ghost-lib,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-02-12,no,,
ghostlink-core,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.3.0,ratatui^0.28,MIT,2026-07-28,no,,
ghostscope-ui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.1.5,ratatui^0.30,GPL-3.0-only,2026-06-26,no,,
ghostty-styles,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-02-25,no,,
ghr-cli,DROP-APP,,publishes no library target,OK,0.8.2,ratatui^0.30,MIT,2026-06-19,no,,
ghs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29.0,MIT,2025-12-07,no,,
ghune,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.29,MIT,2026-01-04,no,,
ghzinga,DROP-APP,,"ships binaries (gzg,ghzinga)",OK,0.5.0,ratatui^0.30,MIT,2026-07-26,no,,
gi-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-06-18,no,,
giff,DROP-APP,,publishes no library target,OK,1.2.0,ratatui^0.30.0,Unlicense OR MIT,2026-03-31,no,,
giffstack,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.26,MIT,2026-05-09,no,,
gigabytectl,DROP-APP,,publishes no library target,OK,0.4.0,ratatui^0.30.0,MIT,2026-07-18,no,,
gimoji,DROP-APP,,publishes no library target,OK,1.3.0,ratatui^0.30.0,MIT,2026-05-04,no,,
gistui,DROP-APP,,ships binaries (gistui),OK,0.17.0,ratatui^0.30,MIT,2026-07-09,no,,
git-break-commits,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.25.0,MIT,2024-01-24,no,,
git-broom,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,MIT,2026-04-14,no,,
git-buoy,DROP-APP,,ships binaries (git-buoy),OK,0.1.0,ratatui^0.30,MIT,2026-07-14,no,,
git-cheatsheet,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.26,MIT,2026-05-05,no,,
git-chronicle,DROP-APP,,ships binaries (git-chronicle),OK,0.1.14,ratatui^0.30,MIT,2026-02-10,no,,
git-conflict-cli,DROP-APP,,publishes no library target,OK,1.0.2,ratatui^0.30.2,MIT,2026-07-20,no,,
git-contributors,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30.0,non-standard,2026-03-08,no,,
git-credit-cli,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30.2,MIT OR Apache-2.0,2026-07-26,no,,
git-dash,DROP-APP,,publishes no library target,OK,0.2.0,ratatui^0.30,MIT,2026-01-10,no,,
git-file-history,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30,MIT,2026-06-08,no,,
git-gild,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.29,MIT,2026-04-26,no,,
git-iris,DROP-APP,,ships binaries (git-iris),OK,2.1.0,ratatui^0.30.0,Apache-2.0,2026-05-20,no,,
git-jmp,DROP-APP,,publishes no library target,OK,0.2.0,ratatui^0.30.0,MIT,2026-05-27,no,,
git-layer,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.8,ratatui^0.29,MIT,2026-04-07,no,,
git-local-review,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,MIT,2025-08-05,no,,
git-loom,DROP-APP,,publishes no library target,OK,0.19.0,ratatui^0.30.0,MIT,2026-06-21,no,,
git-meta-cli,DROP-APP,,publishes no library target,OK,0.1.12,ratatui^0.30,MIT,2026-07-27,no,,
git-multi,DROP-APP,,publishes no library target,OK,0.2.2,ratatui^0.30.0,MIT,2026-07-12,no,,
git-next,DROP-APP,,ships binaries (git-next),OK,2026.5.4,ratatui^0.30,MIT,2026-05-28,no,,
git-parsec,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.0,ratatui^0.28,MIT,2026-06-03,no,,
git-paw,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.12.0,ratatui^0.29,MIT,2026-07-24,no,,
git-pika,DROP-APP,,publishes no library target,OK,0.3.1,ratatui^0.30.1,MIT OR Apache-2.0,2026-07-17,no,,
git-pincer,DROP-APP,,ships binaries (git-pincer),OK,0.1.3,ratatui^0.30,MIT,2026-07-10,no,,
git-plumber,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29.0,MIT,2025-08-20,no,,
git-queue,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29,MIT,2026-07-25,no,,
git-repos-manager,DROP-APP,,publishes no library target,OK,0.7.5,ratatui^0.30,MIT,2026-06-21,no,,
git-review,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0,ratatui^0.29.0,MIT,2025-10-30,no,,
git-same,DROP-APP,,"ships binaries (gen-completions,gen-manpage)",OK,3.1.0,ratatui^0.30,MIT,2026-07-01,no,,
git-tailor,DROP-APP,,ships binaries (gt),OK,2.0.0,ratatui^0.30,Apache-2.0,2026-07-02,no,,
git-time-machine,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.29,MIT,2026-05-20,no,,
git-time-machine-tui,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,MIT,2026-01-13,no,,
git-tree,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.27.0,MIT,2024-06-30,no,,
git-viewer,DROP-APP,,publishes no library target,OK,0.3.0,ratatui^0.30,MIT OR Apache-2.0,2026-06-12,no,,
git-warden,DROP-APP,,publishes no library target,OK,0.1.6,ratatui^0.30,MIT,2026-06-30,no,,
git-warp,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26.2,MIT,2025-07-23,no,,
git-whence,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.24,blessing,2023-11-03,no,,
git-wiz,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.4,ratatui=0.24.0,MIT,2026-01-31,no,,
git-worktree-manager,DROP-APP,,ships binaries (gw),OK,0.1.15,ratatui^0.30,BSD-3-Clause,2026-05-25,no,,
gitai-wf,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,MIT,2025-10-12,no,,
gitat,DROP-APP,,publishes no library target,OK,0.2.1,ratatui^0.30.0,MIT,2026-04-13,no,,
gitat-ui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.2.1,ratatui^0.30.0,MIT,2026-04-13,no,,
gitbrowser-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.26.3,MIT,2024-06-23,no,,
gitcycle,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,MIT,2026-05-25,no,,
gitdash,DROP-APP,,"ships binaries (gd,gitdash)",OK,1.0.3,ratatui^0.30.0,MIT OR Apache-2.0,2026-03-07,no,,
gitdiff,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-05-19,no,,
gitgraph-cli,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30.0,MIT,2026-02-17,no,,
githeat,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.24,MIT,2025-05-22,no,,
githist,DROP-APP,,ships binaries (githist),OK,0.6.0,ratatui^0.30.1,MIT OR Apache-2.0,2026-06-12,no,,
githop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-03-17,no,,
github-repo-manager,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,Apache-2.0,2026-05-29,no,,
githut,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.28,MIT,2026-05-12,no,,
gitkit-cli,DROP-APP,,ships binaries (gitkit),OK,0.1.5,ratatui^0.30.0,MIT,2026-07-19,no,,
gitkraft-tui,DROP-APP,,ships binaries (gitkraft-tui),OK,1.1.2,ratatui^0.30,MIT,2026-06-11,no,,
gitlab-runner-tui,DROP-APP,,publishes no library target,OK,0.1.18,ratatui^0.30,MIT,2026-07-14,no,,
gitlab-tracker,DROP-APP,,publishes no library target,OK,0.2.9,ratatui^0.30,MIT,2026-07-30,no,,
gitlab-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.20,Apache-2.0,2023-07-12,no,,
gitlink,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,MIT,2026-03-04,no,,
gitlogue,DROP-APP,,ships binaries (gitlogue),OK,0.10.0,ratatui^0.30,ISC,2026-07-25,no,,
gitmoto,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.28.1,MIT OR Apache-2.0,2024-09-20,no,,
gitnibble-rs,DROP-APP,,ships binaries (gitnibble),OK,0.1.2,ratatui^0.30,MIT,2026-07-26,no,,
gitnow,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.5,ratatui^0.29.0,MIT,2025-03-04,no,,
gitnr,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.28.1,MIT,2026-04-06,no,,
gitocular,DROP-APP,,publishes no library target,OK,1.1.0,ratatui^0.30,Apache-2.0,2026-04-25,no,,
gitorii,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.12.0,ratatui^0.29,MIT OR Apache-2.0,2026-06-14,no,,
gitoui,DROP-APP,,ships binaries (gitoui),OK,0.3.1,ratatui^0.30.0,MIT,2026-05-25,no,,
gitpane,DROP-APP,,ships binaries (gitpane),OK,0.9.1,ratatui^0.30,MIT,2026-07-14,no,,
gitpeek,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,GPL-3.0-or-later,2026-07-26,no,,
gitpp,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.7.7,ratatui^0.28,MIT,2026-06-05,no,,
gitpulse,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,2.2.0,ratatui^0.28,MIT,2026-02-07,no,,
gitrat,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30,MIT,2026-04-06,no,,
gitrub,DROP-APP,,ships binaries (gitrub),OK,1.1.13,ratatui^0.30,MIT,2026-03-14,no,,
gitstack,DROP-APP,,ships binaries (gitstack),OK,5.3.0,ratatui^0.30,MIT,2026-02-28,no,,
gitstare,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-04-10,no,,
gitstream,DROP-APP,,ships binaries (gitstream),OK,0.1.6,ratatui^0.30.0,MIT,2026-05-21,no,,
gitt-monitor,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,2.5.0,ratatui^0.29,MIT,2026-04-05,no,,
gittype,DROP-APP,,ships binaries (gittype),OK,0.10.1,ratatui^0.30,MIT,2026-07-25,no,,
gitu,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.43.0,ratatui^0.29.0,MIT,2026-07-11,no,,
gitui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.28.1,ratatui^0.29,MIT,2026-03-24,no,,
gitui-view,DROP-APP,,publishes no library target,OK,0.2.4,ratatui^0.30,MIT,2026-07-25,no,,
gituie,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.4,ratatui^0.28,MIT,2026-01-20,no,,
gitv-tui,DROP-APP,,ships binaries (gitv),OK,0.4.5,ratatui^0.30.0,Unlicense OR MIT,2026-06-28,no,,
gitversion-rs,DROP-APP,,ships binaries (gitversion-rs),OK,0.2.4,ratatui^0.30,MIT,2026-06-20,no,,
gitwatch-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-06-19,no,,
gitwig,DROP-APP,,publishes no library target,OK,2.5.3,ratatui^0.30,MIT,2026-07-30,no,,
gitzy,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30.0,MIT,2026-02-16,no,,
gix-tix,DROP-APP,,ships binaries (tix),OK,0.1.0,ratatui^0.30.2,MIT OR Apache-2.0,2026-07-23,no,,
glab-push-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.28.1,MIT,2024-09-25,no,,
glab-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.6.0,ratatui^0.29,MIT,2026-07-29,no,,
glab-tui-crate,DROP-APP,,publishes no library target,OK,0.8.0,ratatui^0.30.1,MIT,2026-07-27,no,,
glacis,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.26,MIT OR Apache-2.0,2025-11-22,no,,
glacis-launch,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26,MIT OR Apache-2.0,2025-11-22,no,,
glances,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.9.5,ratatui^0.29,MIT,2026-04-17,no,,
gland,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.1,ratatui^0.25.0,MIT,2024-03-28,no,,
glass-browser,DROP-APP,,ships binaries (glass),OK,0.2.2,ratatui^0.30.2,MIT,2026-07-30,no,,
glim-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.29.0,MIT,2025-07-21,yes,2384,
glimpse,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0,ratatui^0.29.0,MIT,2026-01-02,no,,
glitt,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29.0,MIT,2026-05-09,no,,
glitzer,DROP-APP,,ships binaries (glitzer),OK,0.1.0,ratatui^0.30.0,Apache-2.0,2026-04-04,no,,
gloves,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.11,ratatui^0.29.0,MIT,2026-03-14,no,,
glowfetch,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-06-22,no,,
glry,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30,MIT,2026-04-16,no,,
glues,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,NODEP,,,,,yes,16669,
glues-core,KEEP,ST,"headless state management, separated from its renderer",NODEP,,,,,yes,16934,Headless state management module for Glues Notes
glues-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.8.1,ratatui^0.29.0,Apache-2.0,2025-09-30,no,,
glum,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,Apache-2.0,2026-07-22,no,,
glyph-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-06-07,no,,
gm-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.1,ratatui^0.29.0,MIT,2025-08-20,no,,
gmap,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.26,MIT OR Apache-2.0,2025-11-02,no,,
gmsg,DROP-APP,,ships binaries (gmsg),OK,0.1.7,ratatui^0.30.0,MIT,2026-07-27,no,,
gnaw-ctx,DROP-APP,,publishes no library target,OK,0.1.5,ratatui^0.30.0,MIT OR Apache-2.0,2026-07-27,no,,
gnomad,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.1,ratatui^0.29,GPL-3.0-or-later,2026-07-27,no,,
gnosis,DROP-APP,,ships binaries (gnosis),OK,0.1.0,ratatui^0.30,MIT,2026-07-24,no,,
gnostr,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1878.945702.534429,ratatui^0.28,MIT,2026-04-19,no,,
gnostr-asyncgit,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,948363.1875.7190,ratatui^0.29,MIT,2026-05-07,no,,
gnostr-blossom-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,948363.1875.7190,ratatui^0.29,MIT,2026-05-07,no,,
gnostr-chat,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,948222.1875.190767,ratatui^0.29,MIT,2026-05-06,no,,
gnostr-crawler,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,948363.1875.7190,ratatui^0.29,MIT,2026-05-07,no,,
go-fish-tui-client,DROP-APP,,publishes no library target,OK,0.3.0,ratatui^0.30,MIT,2026-05-08,no,,
gocat,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.26,GPL-3.0-only,2025-08-31,no,,
gof-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.4,ratatui^0.29.0,MIT,2024-12-04,no,,
goffin,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26.2,MIT,2024-04-26,no,,
gollum,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.0,ratatui^0.29,MIT,2026-07-19,no,,
gollum-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.29,MIT,2026-04-16,no,,
gommage-cli,DROP-APP,,publishes no library target,OK,0.50.0-beta.1,ratatui^0.30,MIT,2026-07-13,no,,
google-workspace-cli,DROP-APP,,publishes no library target,OK,0.22.5,ratatui^0.30.0,Apache-2.0,2026-03-31,no,,
gosh-dl-cli,DROP-APP,,publishes no library target,OK,0.5.0,ratatui^0.30,MIT,2026-06-09,no,,
gosuto,DROP-APP,,publishes no library target,OK,0.11.1,ratatui^0.30,Apache-2.0 OR MIT,2026-03-29,no,,
gotl,DROP-APP,,ships binaries (gotl),OK,0.1.0,ratatui^0.30.0,non-standard,2026-03-17,no,,
govctl,DROP-APP,,publishes no library target,OK,0.17.0,ratatui^0.30,MIT,2026-07-30,no,,
govee-tui,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30,MIT OR Apache-2.0,2026-07-30,no,,
gpam,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-05-24,no,,
gpg-inspector,DROP-APP,,ships binaries (gpg-inspector),OK,0.8.1,ratatui^0.30,MIT,2026-07-30,no,,
gpg-tui,DROP-APP,,"ships binaries (gpg-tui,gpg-tui-completions)",OK,0.11.2,ratatui^0.30.0,MIT,2026-04-23,no,,
gping,DROP-APP,,publishes no library target,OK,1.20.4,ratatui^0.30.2,MIT,2026-06-24,no,,
gpio_monitor,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,Apache-2.0,2025-06-27,no,,
gpp-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-07-12,no,,
gptop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,GPL-3.0,2026-03-04,no,,
gptui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.25.0,GPL-3.0-or-later,2023-12-26,no,,
gpu-histop,DROP-APP,,"ships binaries (gpu-histop,gpu-histop-gui)",OK,0.1.0,ratatui^0.30.0,MIT,2026-05-18,no,,
gpur,DROP-APP,,publishes no library target,OK,0.10.1,ratatui^0.30,MIT,2026-07-28,no,,
graf-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.17,ratatui^0.29,GPL-3.0-only,2026-05-03,no,,
grafatui,DROP-APP,,publishes no library target,OK,0.1.10,ratatui^0.30.1,Apache-2.0,2026-07-23,no,,
grain-ai-agent-tui,DROP-APP,,ships binaries (grain-tui),OK,0.0.1-beta3,ratatui^0.30; ratatui-widgets^0.3,MIT,2026-05-26,no,,
graphix-package-tui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.9.0,ratatui^0.30,MIT,2026-05-09,no,,
graphix-stdlib,DROP-DOMAIN,,"library, but no wqm surface needs it",NODEP,,,,,yes,3553,
graphrag-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-05-31,no,,
graphtatui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-06-15,no,,
gravityfile-tui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.2.4,ratatui^0.30,MIT OR Apache-2.0,2026-03-11,no,,
gravyan,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.28,MIT,2025-10-16,no,,
gregg,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0,ratatui^0.29,MIT,2026-07-24,no,,
gridlife,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.2,ratatui^0.29.0,MIT,2025-01-23,no,,
gridline,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.3,ratatui^0.29,MIT OR Apache-2.0,2026-02-06,no,,
grind-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-03-25,no,,
grod,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,MIT,2026-05-20,no,,
groove-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.29,MIT,2026-05-01,no,,
grov,DROP-APP,,ships binaries (grov),OK,0.5.1,ratatui^0.30,MIT OR Apache-2.0,2026-02-20,no,,
grove-ai,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-02-28,no,,
grove-explore-bin,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.0,ratatui^0.29,MIT,2026-07-22,no,,
grove-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.11.5,ratatui^0.29,MIT,2026-06-22,no,,
grove-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-01-11,no,,
grublist,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.1,ratatui^0.27,MIT OR Apache-2.0,2026-01-17,no,,
gsd-meta-manager,DROP-APP,,ships binaries (gsd-meta-manager),OK,1.6.0,ratatui^0.30,MIT,2026-07-22,no,,
gsim-rs,DROP-APP,,ships binaries (gsim-rs),OK,1.1.1,ratatui^0.30.0,MIT OR Apache-2.0,2026-06-01,no,,
gstat,DROP-APP,,publishes no library target,OK,0.1.9,ratatui^0.30.0,BSD-2-Clause,2026-06-30,no,,
gsty,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.9,ratatui^0.29,MIT,2026-07-21,no,,
gt_rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29.0,MIT,2025-05-04,no,,
gtec,DROP-APP,,"ships binaries (gtec,gtec-tui)",OK,0.0.2,ratatui^0.30,non-standard,2026-04-06,no,,
gtgo,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.10.1,ratatui^0.29.0,MIT,2025-12-04,no,,
gti,DROP-APP,,ships binaries (gti),OK,0.0.2,ratatui^0.30.2,GPL-3.0,2026-07-16,no,,
guardia,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,MIT,2026-03-06,no,,
guardian-db,DROP-APP,,"ships binaries (guardian-pgwire,guardian-sentinel)",OK,0.19.0,ratatui^0.30.0,MIT OR Apache-2.0,2026-07-12,no,,
guess_the_sharpe,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29.0,MIT,2025-06-22,no,,
guestkit,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.2,ratatui^0.28,LGPL-3.0-or-later,2026-01-30,no,,
gulfwatch,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,MIT,2026-04-25,no,,
gusto,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.3.0,ratatui^0.30.0,MIT,2026-04-10,no,,
